date;advert_id;views;clicks;cost;orders;revenue;ctr;cpc;cr
2025-11-05;29731520;1044;42;2523.96;7;4900;4.02;60.09;16.67
2025-11-10;29731520;3806;310;6394.12;47;32429;8.15;20.63;15.16
2025-11-12;29731520;4617;344;7152.78;49;31069;7.45;20.79;14.24
2025-11-14;29731520;1792;127;3045.27;17;10889;7.09;23.98;13.39
2025-10-28;29731520;3808;140;6854.4;14;11369;3.68;48.96;10
2025-10-30;29731520;1022;65;2145;4;2920;6.36;33;6.15
2025-11-03;29731520;1363;111;3296.26;12;8539;8.14;29.7;10.81
2025-11-07;29731520;1858;107;3067.39;13;9100;5.76;28.67;12.15
2025-11-09;29731520;3143;262;5261.34;34;23600;8.34;20.08;12.98
2025-11-15;29731520;1293;106;2186.5;20;12780;8.2;20.63;18.87
2025-10-27;29731520;1717;78;3090.6;8;6800;4.54;39.62;10.26
2025-11-04;29731520;1469;56;3554.98;5;3640;3.81;63.48;8.93
2025-11-08;29731520;2198;130;3627.45;19;13300;5.91;27.9;14.62
2025-11-11;29731520;4042;363;6792.01;72;45421;8.98;18.71;19.83
2025-11-13;29731520;3006;237;5105.66;33;20990;7.88;21.54;13.92
2025-11-16;29731520;3717;236;6132.75;37;23309;6.35;25.99;15.68
2025-10-26;29731520;1758;65;3164.4;6;6000;3.7;48.68;9.23
2025-10-29;29731520;2013;117;4163.7;17;12430;5.81;35.59;14.53
2025-10-31;29731520;992;82;2082.3;16;11260;8.27;25.39;19.51
2025-11-02;29731520;2187;220;5290.32;34;23940;10.06;24.05;15.45
2025-11-06;29731520;784;24;1295.91;4;2940;3.06;54;16.67
2025-11-01;29731520;2782;195;6392.6;26;18339;7.01;32.78;13.33
2025-11-17;29731520;244;21;412.68;0;0;8.61;19.65;0
2025-10-28;29731520;3808;140;6854.4;14;11369;3.68;48.96;10
2025-10-29;29731520;2013;117;4163.7;17;12430;5.81;35.59;14.53
2025-10-31;29731520;992;82;2082.3;16;11260;8.27;25.39;19.51
2025-11-02;29731520;2187;220;5290.32;34;23940;10.06;24.05;15.45
2025-11-05;29731520;1044;42;2523.96;7;4900;4.02;60.09;16.67
2025-11-06;29731520;784;24;1295.91;4;2940;3.06;54;16.67
2025-11-12;29731520;4617;344;7152.78;49;31069;7.45;20.79;14.24
2025-11-03;29731520;1363;111;3296.26;12;8539;8.14;29.7;10.81
2025-11-07;29731520;1858;107;3067.39;13;9100;5.76;28.67;12.15
2025-11-08;29731520;2198;130;3627.45;19;13300;5.91;27.9;14.62
2025-11-13;29731520;3006;237;5105.66;33;20990;7.88;21.54;13.92
2025-11-14;29731520;1792;127;3045.27;17;10889;7.09;23.98;13.39
2025-10-26;29731520;1758;65;3164.4;6;6000;3.7;48.68;9.23
2025-10-30;29731520;1022;65;2145;4;2920;6.36;33;6.15
2025-11-04;29731520;1469;56;3554.98;5;3640;3.81;63.48;8.93
2025-11-10;29731520;3806;310;6394.12;47;32429;8.15;20.63;15.16
2025-11-16;29731520;3717;236;6132.75;37;23309;6.35;25.99;15.68
2025-10-27;29731520;1717;78;3090.6;8;6800;4.54;39.62;10.26
2025-11-01;29731520;2782;195;6392.6;26;18339;7.01;32.78;13.33
2025-11-09;29731520;3143;262;5261.34;34;23600;8.34;20.08;12.98
2025-11-11;29731520;4042;363;6792.01;72;45421;8.98;18.71;19.83
2025-11-15;29731520;1293;106;2186.5;20;12780;8.2;20.63;18.87
2025-11-17;29731520;538;65;900.91;4;2520;12.08;13.86;6.15
2025-10-27;29731520;1717;78;3090.6;8;6800;4.54;39.62;10.26
2025-10-31;29731520;992;82;2082.3;16;11260;8.27;25.39;19.51
2025-11-01;29731520;2782;195;6392.6;26;18339;7.01;32.78;13.33
2025-11-04;29731520;1469;56;3554.98;5;3640;3.81;63.48;8.93
2025-11-07;29731520;1858;107;3067.39;13;9100;5.76;28.67;12.15
2025-11-09;29731520;3143;262;5261.34;34;23600;8.34;20.08;12.98
2025-11-12;29731520;4617;344;7152.78;49;31069;7.45;20.79;14.24
2025-11-15;29731520;1293;106;2186.5;20;12780;8.2;20.63;18.87
2025-11-02;29731520;2187;220;5290.32;34;23940;10.06;24.05;15.45
2025-11-06;29731520;784;24;1295.91;4;2940;3.06;54;16.67
2025-11-10;29731520;3806;310;6394.12;47;32429;8.15;20.63;15.16
2025-11-11;29731520;4042;363;6792.01;72;45421;8.98;18.71;19.83
2025-11-13;29731520;3006;237;5105.66;33;20990;7.88;21.54;13.92
2025-10-26;29731520;1758;65;3164.4;6;6000;3.7;48.68;9.23
2025-10-29;29731520;2013;117;4163.7;17;12430;5.81;35.59;14.53
2025-10-30;29731520;1022;65;2145;4;2920;6.36;33;6.15
2025-11-03;29731520;1363;111;3296.26;12;8539;8.14;29.7;10.81
2025-11-14;29731520;1792;127;3045.27;17;10889;7.09;23.98;13.39
2025-10-28;29731520;3808;140;6854.4;14;11369;3.68;48.96;10
2025-11-05;29731520;1044;42;2523.96;7;4900;4.02;60.09;16.67
2025-11-08;29731520;2198;130;3627.45;19;13300;5.91;27.9;14.62
2025-11-16;29731520;3717;236;6132.75;37;23309;6.35;25.99;15.68
2025-11-17;29731520;2479;244;4143.22;37;23310;9.84;16.98;15.16
2025-11-18;29731520;1;0;1.95;1;630;0;0;0
2025-11-07;29731520;1858;107;3067.39;13;9100;5.76;28.67;12.15
2025-11-10;29731520;3806;310;6394.12;47;32429;8.15;20.63;15.16
2025-11-14;29731520;1792;127;3045.27;17;10889;7.09;23.98;13.39
2025-11-15;29731520;1293;106;2186.5;20;12780;8.2;20.63;18.87
2025-10-27;29731520;1717;78;3090.6;8;6800;4.54;39.62;10.26
2025-11-05;29731520;1044;42;2523.96;7;4900;4.02;60.09;16.67
2025-11-11;29731520;4042;363;6792.01;72;45421;8.98;18.71;19.83
2025-10-31;29731520;992;82;2082.3;16;11260;8.27;25.39;19.51
2025-11-01;29731520;2782;195;6392.6;26;18339;7.01;32.78;13.33
2025-11-08;29731520;2198;130;3627.45;19;13300;5.91;27.9;14.62
2025-11-09;29731520;3143;262;5261.34;34;23600;8.34;20.08;12.98
2025-11-12;29731520;4617;344;7152.78;49;31069;7.45;20.79;14.24
2025-11-17;29731520;2479;244;4143.22;40;25200;9.84;16.98;16.39
2025-10-26;29731520;1758;65;3164.4;6;6000;3.7;48.68;9.23
2025-10-28;29731520;3808;140;6854.4;14;11369;3.68;48.96;10
2025-11-02;29731520;2187;220;5290.32;34;23940;10.06;24.05;15.45
2025-11-04;29731520;1469;56;3554.98;5;3640;3.81;63.48;8.93
2025-11-06;29731520;784;24;1295.91;4;2940;3.06;54;16.67
2025-11-13;29731520;3006;237;5105.66;33;20990;7.88;21.54;13.92
2025-11-16;29731520;3717;236;6132.75;37;23309;6.35;25.99;15.68
2025-10-29;29731520;2013;117;4163.7;17;12430;5.81;35.59;14.53
2025-10-30;29731520;1022;65;2145;4;2920;6.36;33;6.15
2025-11-03;29731520;1363;111;3296.26;12;8539;8.14;29.7;10.81
2025-11-18;29731520;5;0;6.1;1;630;0;0;0
2025-11-05;29709658;7;1;14.25;0;0;14.29;14.25;0
2025-11-15;29709658;788;42;1052.09;3;2430;5.33;25.05;7.14
2025-10-27;29709658;3934;134;7862.89;6;5400;3.41;58.68;4.48
2025-11-03;29709658;5;0;10.35;1;840;0;0;0
2025-11-06;29709658;0;1;0;0;0;0;0;0
2025-11-10;29709658;2;0;4.65;0;0;0;0;0
2025-11-11;29709658;4021;261;7439;25;20351;6.49;28.5;9.58
2025-10-30;29709658;1033;64;2117.45;3;2610;6.2;33.09;4.69
2025-11-08;29709658;870;92;2304.2;10;8120;10.57;25.05;10.87
2025-11-13;29709658;34;1;50.95;1;830;2.94;50.95;100
2025-11-14;29709658;1472;71;2017.27;7;5670;4.82;28.41;9.86
2025-10-29;29709658;2051;121;4185;8;6960;5.9;34.59;6.61
2025-10-31;29709658;921;49;2115.7;3;2520;5.32;43.18;6.12
2025-10-28;29709658;2649;147;5296.3;12;10389;5.55;36.03;8.16
2025-11-04;29709658;2;1;4.35;0;0;50;4.35;0
2025-11-09;29709658;1362;107;3595.65;13;10370;7.86;33.6;12.15
2025-11-01;29709658;2321;116;5862.35;9;7420;5;50.54;7.76
2025-11-16;29709658;1959;88;3049.54;8;6480;4.49;34.65;9.09
2025-10-25;29709658;2099;74;4198;11;11000;3.53;56.73;14.86
2025-10-26;29709658;1594;31;3188;8;8000;1.94;102.84;25.81
2025-11-02;29709658;10;1;24.2;1;840;10;24.2;100
2025-11-12;29709658;3799;155;6223.4;16;13080;4.08;40.15;10.32
2025-11-17;29709658;5;2;6.95;0;0;40;3.47;0
2025-11-07;29709658;0;0;0;2;1680;0;0;0
2025-11-17;30467498;138;1;43.54;1;630;0.72;43.54;100
2025-11-16;30467498;6206;264;2027.81;34;21780;4.25;7.68;12.88
2025-11-18;30467498;1066;55;356.41;0;0;5.16;6.48;0
2025-11-18;30535614;292;7;105.05;0;0;2.4;15.01;0
2025-11-08;29731520;2198;130;3627.45;19;13300;5.91;27.9;14.62
2025-11-13;29731520;3006;237;5105.66;33;20990;7.88;21.54;13.92
2025-11-14;29731520;1792;127;3045.27;17;10889;7.09;23.98;13.39
2025-10-27;29731520;1717;78;3090.6;8;6800;4.54;39.62;10.26
2025-11-03;29731520;1363;111;3296.26;12;8539;8.14;29.7;10.81
2025-11-06;29731520;784;24;1295.91;4;2940;3.06;54;16.67
2025-11-10;29731520;3806;310;6394.12;47;32429;8.15;20.63;15.16
2025-11-11;29731520;4042;363;6792.01;72;45421;8.98;18.71;19.83
2025-11-05;29731520;1044;42;2523.96;7;4900;4.02;60.09;16.67
2025-11-07;29731520;1858;107;3067.39;13;9100;5.76;28.67;12.15
2025-11-15;29731520;1293;106;2186.5;20;12780;8.2;20.63;18.87
2025-11-02;29731520;2187;220;5290.32;34;23940;10.06;24.05;15.45
2025-11-12;29731520;4617;344;7152.78;49;31069;7.45;20.79;14.24
2025-11-17;29731520;2479;244;4143.22;40;25200;9.84;16.98;16.39
2025-10-26;29731520;1758;65;3164.4;6;6000;3.7;48.68;9.23
2025-11-01;29731520;2782;195;6392.6;26;18339;7.01;32.78;13.33
2025-11-16;29731520;3717;236;6132.75;37;23309;6.35;25.99;15.68
2025-10-28;29731520;3808;140;6854.4;14;11369;3.68;48.96;10
2025-11-04;29731520;1469;56;3554.98;5;3640;3.81;63.48;8.93
2025-11-09;29731520;3143;262;5261.34;34;23600;8.34;20.08;12.98
2025-10-29;29731520;2013;117;4163.7;17;12430;5.81;35.59;14.53
2025-10-31;29731520;992;82;2082.3;16;11260;8.27;25.39;19.51
2025-10-30;29731520;1022;65;2145;4;2920;6.36;33;6.15
2025-11-18;29731520;739;86;1238;7;4409;11.64;14.4;8.14
2025-11-17;30467700;6843;254;3417.97;10;12090;3.71;13.46;3.94
2025-11-16;30467700;8334;299;4162.44;11;13860;3.59;13.92;3.68
2025-11-18;30467700;1537;89;476.04;2;2520;5.79;5.35;2.25
2025-10-28;29731520;3808;140;6854.4;14;11369;3.68;48.96;10
2025-10-29;29731520;2013;117;4163.7;17;12430;5.81;35.59;14.53
2025-10-31;29731520;992;82;2082.3;16;11260;8.27;25.39;19.51
2025-11-05;29731520;1044;42;2523.96;7;4900;4.02;60.09;16.67
2025-11-06;29731520;784;24;1295.91;4;2940;3.06;54;16.67
2025-11-10;29731520;3806;310;6394.12;47;32429;8.15;20.63;15.16
2025-11-11;29731520;4042;363;6792.01;72;45421;8.98;18.71;19.83
2025-10-27;29731520;1717;78;3090.6;8;6800;4.54;39.62;10.26
2025-11-01;29731520;2782;195;6392.6;26;18339;7.01;32.78;13.33
2025-11-02;29731520;2187;220;5290.32;34;23940;10.06;24.05;15.45
2025-11-08;29731520;2198;130;3627.45;19;13300;5.91;27.9;14.62
2025-11-12;29731520;4617;344;7152.78;49;31069;7.45;20.79;14.24
2025-11-13;29731520;3006;237;5105.66;33;20990;7.88;21.54;13.92
2025-11-15;29731520;1293;106;2186.5;20;12780;8.2;20.63;18.87
2025-11-16;29731520;3717;236;6132.75;37;23309;6.35;25.99;15.68
2025-10-30;29731520;1022;65;2145;4;2920;6.36;33;6.15
2025-11-04;29731520;1469;56;3554.98;5;3640;3.81;63.48;8.93
2025-11-14;29731520;1792;127;3045.27;17;10889;7.09;23.98;13.39
2025-11-17;29731520;2479;244;4143.22;40;25200;9.84;16.98;16.39
2025-11-03;29731520;1363;111;3296.26;12;8539;8.14;29.7;10.81
2025-11-07;29731520;1858;107;3067.39;13;9100;5.76;28.67;12.15
2025-11-09;29731520;3143;262;5261.34;34;23600;8.34;20.08;12.98
2025-10-26;29731520;1758;65;3164.4;6;6000;3.7;48.68;9.23
2025-11-18;29731520;785;95;1314.84;7;4409;12.1;13.84;7.37
2025-10-29;29731520;2013;117;4163.7;17;12430;5.81;35.59;14.53
2025-11-02;29731520;2187;220;5290.32;34;23940;10.06;24.05;15.45
2025-11-04;29731520;1469;56;3554.98;5;3640;3.81;63.48;8.93
2025-11-09;29731520;3143;262;5261.34;34;23600;8.34;20.08;12.98
2025-11-11;29731520;4042;363;6792.01;72;45421;8.98;18.71;19.83
2025-11-15;29731520;1293;106;2186.5;20;12780;8.2;20.63;18.87
2025-10-27;29731520;1717;78;3090.6;8;6800;4.54;39.62;10.26
2025-10-31;29731520;992;82;2082.3;16;11260;8.27;25.39;19.51
2025-11-06;29731520;784;24;1295.91;4;2940;3.06;54;16.67
2025-11-13;29731520;3006;237;5105.66;33;20990;7.88;21.54;13.92
2025-11-16;29731520;3717;236;6132.75;37;23309;6.35;25.99;15.68
2025-11-05;29731520;1044;42;2523.96;7;4900;4.02;60.09;16.67
2025-10-28;29731520;3808;140;6854.4;14;11369;3.68;48.96;10
2025-10-30;29731520;1022;65;2145;4;2920;6.36;33;6.15
2025-11-01;29731520;2782;195;6392.6;26;18339;7.01;32.78;13.33
2025-11-03;29731520;1363;111;3296.26;12;8539;8.14;29.7;10.81
2025-11-10;29731520;3806;310;6394.12;47;32429;8.15;20.63;15.16
2025-11-12;29731520;4617;344;7152.78;49;31069;7.45;20.79;14.24
2025-11-14;29731520;1792;127;3045.27;17;10889;7.09;23.98;13.39
2025-11-08;29731520;2198;130;3627.45;19;13300;5.91;27.9;14.62
2025-11-17;29731520;2479;244;4143.22;40;25200;9.84;16.98;16.39
2025-11-07;29731520;1858;107;3067.39;13;9100;5.76;28.67;12.15
2025-10-26;29731520;1758;65;3164.4;6;6000;3.7;48.68;9.23
2025-11-18;29731520;927;108;1539.95;19;11969;11.65;14.26;17.59
2025-11-13;29731520;3006;237;5105.66;33;20990;7.88;21.54;13.92
2025-11-14;29731520;1792;127;3045.27;17;10889;7.09;23.98;13.39
2025-11-05;29731520;1044;42;2523.96;7;4900;4.02;60.09;16.67
2025-11-12;29731520;4617;344;7152.78;49;31069;7.45;20.79;14.24
2025-11-15;29731520;1293;106;2186.5;20;12780;8.2;20.63;18.87
2025-11-16;29731520;3717;236;6132.75;37;23309;6.35;25.99;15.68
2025-11-17;29731520;2479;244;4143.22;40;25200;9.84;16.98;16.39
2025-11-06;29731520;784;24;1295.91;4;2940;3.06;54;16.67
2025-11-07;29731520;1858;107;3067.39;13;9100;5.76;28.67;12.15
2025-11-08;29731520;2198;130;3627.45;19;13300;5.91;27.9;14.62
2025-11-09;29731520;3143;262;5261.34;34;23600;8.34;20.08;12.98
2025-11-10;29731520;3806;310;6394.12;47;32429;8.15;20.63;15.16
2025-11-11;29731520;4042;363;6792.01;72;45421;8.98;18.71;19.83
2025-11-18;29731520;927;108;1539.95;19;11969;11.65;14.26;17.59
2025-11-16;30467700;8334;299;4162.44;11;13860;3.59;13.92;3.68
2025-11-17;30467700;6843;254;3417.97;10;12090;3.71;13.46;3.94
2025-11-18;30467700;3899;185;1179.36;4;5039;4.74;6.37;2.16
2025-11-18;30535614;738;21;264.35;1;1260;2.85;12.59;4.76
2025-11-16;30467498;6206;264;2027.81;34;21780;4.25;7.68;12.88
2025-11-17;30467498;138;1;43.54;1;630;0.72;43.54;100
2025-11-18;30467498;2610;143;833.74;9;5670;5.48;5.83;6.29
2025-11-05;29709658;7;1;14.25;0;0;14.29;14.25;0
2025-11-08;29709658;870;92;2304.2;10;8120;10.57;25.05;10.87
2025-11-10;29709658;2;0;4.65;0;0;0;0;0
2025-11-11;29709658;4021;261;7439;25;20351;6.49;28.5;9.58
